========================================
 PHASE 2: GRPO REINFORCEMENT LEARNING   
========================================
Loading Phase 1 Brain via MMAP from /opt/rishabh_experimental/rishabh_final.pt...
Initializing ZERO-VRAM SGD Optimizer (lr=1e-4)...
Starting GRPO Loop!
/usr/lib/python3.11/contextlib.py:105: FutureWarning: `torch.backends.cuda.sdp_kernel()` is deprecated. In the future, this context manager will be removed. Please see `torch.nn.attention.sdpa_kernel()` for the new context manager, with updated signature.
  self.gen = func(*args, **kwds)
RL Step 1 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.6s | Prob: A train travels at 63 km/h for... | Ans: 73.0
RL Step 2 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 59.78
RL Step 3 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 70 km/h for... | Ans: 70.0
RL Step 4 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 58 km/h for... | Ans: 76.5
RL Step 5 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 53 km/h for... | Ans: 59.43
RL Step 6 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 53 km/h for... | Ans: 71.5
RL Step 7 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 61 km/h for... | Ans: 73.0
RL Step 8 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 46 km/h for... | Ans: 51.33
RL Step 9 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 43 km/h for... | Ans: 61.5
RL Step 10 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 44 km/h for... | Ans: 51.29
RL Step 11 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 77.44
RL Step 12 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 73 km/h for... | Ans: 72.33
RL Step 13 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 57 km/h for... | Ans: 64.43
RL Step 14 | Loss: 0.0039 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 52 km/h for... | Ans: 74.0
RL Step 15 | Loss: 0.0195 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 69 km/h for... | Ans: 72.33
RL Step 16 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 66.33
RL Step 17 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 72 km/h for... | Ans: 75.0
RL Step 18 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 64 km/h for... | Ans: 77.12
RL Step 19 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 78.14
RL Step 20 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 46 km/h for... | Ans: 55.5
RL Step 21 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 57 km/h for... | Ans: 63.43
RL Step 22 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 70.56
RL Step 23 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 67.0
RL Step 24 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 60 km/h for... | Ans: 81.0
RL Step 25 | Loss: 0.0078 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 55 km/h for... | Ans: 67.0
RL Step 26 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 44 km/h for... | Ans: 52.0
RL Step 27 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 48 km/h for... | Ans: 69.0
RL Step 28 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 75 km/h for... | Ans: 79.8
RL Step 29 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 50 km/h for... | Ans: 56.0
RL Step 30 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 63 km/h for... | Ans: 64.0
RL Step 31 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 67 km/h for... | Ans: 74.71
RL Step 32 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 60.43
RL Step 33 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 79 km/h for... | Ans: 70.0
RL Step 34 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 67 km/h for... | Ans: 73.38
RL Step 35 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 78 km/h for... | Ans: 84.4
RL Step 36 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 80.78
RL Step 37 | Loss: -0.0117 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 52 km/h for... | Ans: 64.5
RL Step 38 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 78 km/h for... | Ans: 79.5
RL Step 39 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 87.14
RL Step 40 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 77 km/h for... | Ans: 77.71
RL Step 41 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 47 km/h for... | Ans: 71.0
RL Step 42 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 53 km/h for... | Ans: 81.2
RL Step 43 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 68 km/h for... | Ans: 66.86
RL Step 44 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 67 km/h for... | Ans: 82.0
RL Step 45 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 62 km/h for... | Ans: 69.71
RL Step 46 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 67 km/h for... | Ans: 77.5
RL Step 47 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 64 km/h for... | Ans: 64.0
RL Step 48 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 77 km/h for... | Ans: 72.0
RL Step 49 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 53 km/h for... | Ans: 57.44
RL Step 50 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 49 km/h for... | Ans: 70.78
RL Step 51 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 57 km/h for... | Ans: 73.0
RL Step 52 | Loss: 0.0000 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 76 km/h for... | Ans: 83.0
RL Step 53 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 75.0
RL Step 54 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 45 km/h for... | Ans: 65.5
RL Step 55 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 79 km/h for... | Ans: 83.5
RL Step 56 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 44 km/h for... | Ans: 60.33
RL Step 57 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 73.14
RL Step 58 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 66 km/h for... | Ans: 76.5
RL Step 59 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 47 km/h for... | Ans: 55.0
RL Step 60 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 46 km/h for... | Ans: 63.0
RL Step 61 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 76 km/h for... | Ans: 77.25
RL Step 62 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 70 km/h for... | Ans: 78.33
RL Step 63 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 47 km/h for... | Ans: 71.0
RL Step 64 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 69 km/h for... | Ans: 80.4
RL Step 65 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 70 km/h for... | Ans: 76.8
RL Step 66 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 65 km/h for... | Ans: 81.0
RL Step 67 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 68.0
RL Step 68 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 41 km/h for... | Ans: 59.29
RL Step 69 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 66 km/h for... | Ans: 76.29
RL Step 70 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 66.57
RL Step 71 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 62 km/h for... | Ans: 64.33
